"business_name","telephone","street","locality","region","zipcode","website","business_page","search_category","updated_at"
"Kingsdale Plumbing Co","416-221-2748","343 Kingsdale Ave","North York","ON","M2N 3X7","","https://www.yellowpages.ca/bus/Ontario/North-York/Kingsdale-Plumbing-Co/2355085.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.554465"
"The Urban Plumber Inc","647-559-9297","343 Milverton Blvd","Toronto","ON","M4J 1W1","https://www.yellowpages.ca/gourl/a6029b3a9e3b5000d20384e79d535fb6638375b8?redirect=http%3A%2F%2Ftheurbanplumber.com%2F","https://www.yellowpages.ca/bus/Ontario/Toronto/The-Urban-Plumber-Inc/7937286.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.554760"
"Lampert Plumbing","647-362-2287","119 Miranda Ave","York","ON","M6B 3W8","https://www.yellowpages.ca/gourl/86c53021511d7a6cbaa5c37e494c7f036e81a23f?redirect=http%3A%2F%2Fwww.lampertplumbing.ca%2F","https://www.yellowpages.ca/bus/Ontario/York/Lampert-Plumbing/6885446.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.555021"
"Century Plumbing & Heating","437-370-0337","766 Gordon Baker Rd","North York","ON","M2H 3B4","https://www.yellowpages.ca/gourl/1d6cf6d5bd32c319d36d58b7304d5d7cbd5f1132?redirect=http%3A%2F%2Fcenturyplumbing.ca%2F","https://www.yellowpages.ca/bus/Ontario/North-York/Century-Plumbing-Heating/2172952.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.555315"
"S and J Plumbing Services","647-558-3297","15 William Stark Rd","Stouffville","ON","L4A 0H5","https://www.yellowpages.ca/gourl/aaccc2ba11bf3cd6821c0134f740f3612069af9d?redirect=http%3A%2F%2Fsandjplumbing.ca%2F","https://www.yellowpages.ca/bus/Ontario/Stouffville/S-and-J-Plumbing-Services/6626594.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.555579"
"Nor-Line Plumbing & Mechanical Limited","289-379-9540","70 Newkirk Rd","Richmond Hill","ON","L4C 3G3","https://www.yellowpages.ca/gourl/45ba8ec7e18afc24e4d19e099d8611bb58527c78?redirect=http%3A%2F%2Fwww.nor-line.ca%2F","https://www.yellowpages.ca/bus/Ontario/Richmond-Hill/Nor-Line-Plumbing-Mechanical-Limited/2434696.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.555855"
"Bayvalley Mechanical Inc","416-258-7395","","Markham","ON","L3S 4H4","","https://www.yellowpages.ca/bus/Ontario/Markham/Bayvalley-Mechanical-Inc/8218514.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.556090"
"Roma Plumbing Limited","905-660-0408","200 Edgeley Blvd","Concord","ON","L4K 3Y8","","https://www.yellowpages.ca/bus/Ontario/Concord/Roma-Plumbing-Limited/5893016.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.556320"
"Alderwood Plumbing Services Ltd","416-233-2440","","TORONTO","ON","","javascript:void(0);","https://www.yellowpages.ca/bus/Ontario/TORONTO/Alderwood-Plumbing-Services-Ltd/5893891.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.556539"
"Under Pressure Plumbing Services Inc","416-538-1444","","Toronto","ON","M5A 2L4","","https://www.yellowpages.ca/bus/Ontario/Toronto/Under-Pressure-Plumbing-Services-Inc/4256863.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.556766"
"Griffiths Geo & Sons Ltd","905-475-6518","300 Steelcase Rd W","Markham","ON","L3R 2W2","https://www.yellowpages.ca/gourl/4e648252dfc1dcf6540a2acfaea7ae9cba8c829c?redirect=http%3A%2F%2Fwww.griffithsplumbing.com%2F","https://www.yellowpages.ca/bus/Ontario/Markham/Griffiths-Geo-Sons-Ltd/2300748.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.557000"
"Pacific Plumbing And Drains Ltd","416-783-9434","831 Glencairn Ave","North York","ON","M6B 2A4","","https://www.yellowpages.ca/bus/Ontario/North-York/Pacific-Plumbing-And-Drains-Ltd/2450050.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.557232"
"Bomben Plumbing & Heating Ltd PH17540","905-565-0300","5970 Atlantic Dr","Mississauga","ON","L4W 1N6","https://www.yellowpages.ca/gourl/a1e0a6f7153712b1b2e5556a434176a8971870cd?redirect=http%3A%2F%2Fwww.bomben.ca%2F","https://www.yellowpages.ca/bus/Ontario/Mississauga/Bomben-Plumbing-Heating-Ltd-PH17540/2131361.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.557466"
"Mr Rooter Plumbing of Toronto ON","416-699-8623","27 Glenmount Park Rd","Toronto","ON","M4E 2M8","https://www.yellowpages.ca/gourl/194934e78032a637b096ae7950af61e6e4e5776c?redirect=https%3A%2F%2Fmrrooter.ca%2F","https://www.yellowpages.ca/bus/Ontario/Toronto/Mr-Rooter-Plumbing-of-Toronto-ON/5892681.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.557754"
"Drain King Plumbers","647-362-2109","100 Saint Regis Cres S","North York","ON","M3J 1Y8","https://www.yellowpages.ca/gourl/da1e25754a6c71be02dfd65d70dd8e57837f965b?redirect=https%3A%2F%2Fwww.drainkingplumbers.ca%2F","https://www.yellowpages.ca/bus/Ontario/North-York/Drain-King-Plumbers/101902936.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.558041"
"JMS Plumbing & Drains","647-846-8116","","","","","","https://www.yellowpages.ca/bus/Ontario/JMS-Plumbing-Drains/102753075.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.558251"
"New Water Plumbing","647-559-9278
1-844-219-9974","34 Doncaster Ave","Thornhill","ON","L3T 4S1","https://www.yellowpages.ca/gourl/b7b76a57075271678ca76d214e76d1b2b29e0206?redirect=http%3A%2F%2Fnewwaterplumbing.ca%2F","https://www.yellowpages.ca/bus/Ontario/Thornhill/New-Water-Plumbing/1126404.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.558553"
"Bartman Plumbing Ltd","647-846-8278","16-56 Pennsylvania Ave","Concord","ON","L4K 3V9","https://www.yellowpages.ca/gourl/3e0854157bdfc605fd23fdd955748e12e412b1ea?redirect=https%3A%2F%2Fwww.bartmanplumbing.com%2F","https://www.yellowpages.ca/bus/Ontario/Concord/Bartman-Plumbing-Ltd/102421730.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.558818"
"17 Plumbing & Construction Design Ltd","647-849-3722","135 Weston Dr","Milton","ON","L9T 0V6","javascript:void(0);","https://www.yellowpages.ca/bus/Ontario/Milton/17-Plumbing-Construction-Design-Ltd/102600599.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:23.559071"
"Euclid Plumbing & Heating","437-370-0697","12 Lorraine Gdns","Etobicoke","ON","M9B 4Z4","https://www.yellowpages.ca/gourl/1514ab88a7f89f03fa34be9802f25326bb2c38b6?redirect=http%3A%2F%2Feuclidplumbing.ca%2F","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Euclid-Plumbing-Heating/4217847.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.557086"
"Royal Plumbing Services","416-537-0038
1-800-536-1543","614 Dufferin St","Toronto","ON","M6K 2A9","https://www.yellowpages.ca/gourl/fd5587b94fa7dc858465447c35340be812cfaf6e?redirect=http%3A%2F%2Fwww.royalplumbers.ca%2F","https://www.yellowpages.ca/bus/Ontario/Toronto/Royal-Plumbing-Services/100370047.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.557394"
"Paul's Plumbing Ltd","416-759-7491","841 O'Connor Dr","East York","ON","M4B 2S7","https://www.yellowpages.ca/gourl/404e932a3079691b4bb2f03c4bbf2a623da3c993?redirect=http%3A%2F%2Fwww.paulsplumbingltd.com%2F","https://www.yellowpages.ca/bus/Ontario/East-York/Paul-s-Plumbing-Ltd/1204171.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.557663"
"A&D Marca Plumbing Inc","647-500-1312","29 Boltonview Cres","Bolton","ON","L7E 2H2","https://www.yellowpages.ca/gourl/00fa3b6bf7868b6666216594dbca3b2d554a757f?redirect=https%3A%2F%2Fwww.facebook.com%2FADMarcaPlumbing%2F","https://www.yellowpages.ca/bus/Ontario/Bolton/A-D-Marca-Plumbing-Inc/101688053.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.557927"
"M I Plumbing Services","416-854-3356","2233 Hurontario St","Mississauga","ON","L5A 2E9","","https://www.yellowpages.ca/bus/Ontario/Mississauga/M-I-Plumbing-Services/102662695.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.558183"
"Mimico Plumbing & Mechanical","647-360-1322","70 Albert Ave","Etobicoke","ON","M8V 2L7","https://www.yellowpages.ca/gourl/aed93f06ea127338a2a3bc1544db221a3b2cda9a?redirect=http%3A%2F%2Fmimicoplumbing.ca%2F","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Mimico-Plumbing-Mechanical/8030679.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.558500"
"Summit Mechanics Inc","647-625-1879","45 Wilson Dr","Bradford","ON","L3Z 0Y2","","https://www.yellowpages.ca/bus/Ontario/Bradford/Summit-Mechanics-Inc/102676098.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.558742"
"AA S & J Mechanical","416-654-3143","32 Dunraven Dr","York","ON","M6M 1H1","https://www.yellowpages.ca/gourl/3617cc077d4984d77832073d92fa0112add9ca96?redirect=http%3A%2F%2Fwww.facebook.com%2F500754673462128","https://www.yellowpages.ca/bus/Ontario/York/AA-S-J-Mechanical/2069092.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.559008"
"Ontario Pacific Plumbing","416-648-1444","","Brampton","ON","","","https://www.yellowpages.ca/bus/Ontario/Brampton/Ontario-Pacific-Plumbing/102380928.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.559254"
"Pat's Home Hardware","416-461-5000","257 Coxwell Ave","Toronto","ON","M4L 3B5","https://www.yellowpages.ca/gourl/3f8ce7e2a18db6a489838bb2d4f4c4ebd7194291?redirect=http%3A%2F%2Fwww.homehardware.ca%2F","https://www.yellowpages.ca/bus/Ontario/Toronto/Pat-s-Home-Hardware/5894853.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.559521"
"H2O Bath And Plumbing Supplies","647-361-4790","717 Kipling Ave","Etobicoke","ON","M8Z 5G4","https://www.yellowpages.ca/gourl/b24da8e721f1224d437ec7feebc697128ddd16aa?redirect=http%3A%2F%2Fwww.h2obath.com%2F","https://www.yellowpages.ca/bus/Ontario/Etobicoke/H2O-Bath-And-Plumbing-Supplies/5869062.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.559784"
"Niagara Water Services","416-231-2000","277 Bering Ave","Etobicoke","ON","M8Z 3A5","https://www.yellowpages.ca/gourl/4f36dc3102c546f21cefbfd3ac5df4ae34545cec?redirect=https%3A%2F%2Fwww.facebook.com%2FNiagaraWaterServices%2F","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Niagara-Water-Services/1130191.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.560037"
"Beach Plumbing & Heating","416-691-3555","378-2255B Queen St E","Toronto","ON","M4E 1G3","","https://www.yellowpages.ca/bus/Ontario/Toronto/Beach-Plumbing-Heating/7815761.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.560302"
"Rooter Group Inc","1-800-276-6837","","","","","","https://www.yellowpages.ca/bus/Ontario/Rooter-Group-Inc/5329128.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.560519"
"Battaglia Mechanical Services","905-415-2136","210 Don Park Rd","Markham","ON","L3R 2V2","https://www.yellowpages.ca/gourl/17afc7dc7bd9da604fc7ea0806c76a574bd143af?redirect=http%3A%2F%2Fbattagliamechanical.com%2F","https://www.yellowpages.ca/bus/Ontario/Markham/Battaglia-Mechanical-Services/7969755.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.560761"
"G M C Plumbing & Heating","647-559-9364","12 Oakland Ave","North York","ON","M9M 2H8","https://www.yellowpages.ca/gourl/94846bc9acb51bd44af52ff1f5ee10f64cec1b32?redirect=http%3A%2F%2Fgmcplumbing.com%2F","https://www.yellowpages.ca/bus/Ontario/North-York/G-M-C-Plumbing-Heating/662814.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.561020"
"Mr Rooter","416-488-1940","","","","","","https://www.yellowpages.ca/bus/Ontario/Mr-Rooter/101726564.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.561224"
"Complete Plumbing","416-616-0049","","","","","","https://www.yellowpages.ca/bus/Ontario/Complete-Plumbing/7917000.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.561416"
"Moen Inc","905-829-3400
1-800-465-6130","2816 Bristol Cir","Oakville","ON","L6H 5S7","https://www.yellowpages.ca/gourl/1c2671d57b5cd02ed6419f0ee5edbbd7c0e02786?redirect=http%3A%2F%2Fwww.moen.com%2F","https://www.yellowpages.ca/bus/Ontario/Oakville/Moen-Inc/2415319.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.561692"
"Enercare Home Services","519-750-1530","","","","","","https://www.yellowpages.ca/bus/Ontario/Enercare-Home-Services/101279366.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.561886"
"Thorndale International I","905-940-2611","25 Valleywood Dr","Markham","ON","L3R 5L9","javascript:void(0);","https://www.yellowpages.ca/bus/Ontario/Markham/Thorndale-International-I/3432239.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.562119"
"Trouble Shooters Plumbing & Drains","416-291-9444","2370 Midland Ave","Scarborough","ON","M1S 5C6","https://www.yellowpages.ca/gourl/6e8a623875dd2108e862b00974dcb7d87d418a7a?redirect=https%3A%2F%2Ftorontoplumbers.com%2F","https://www.yellowpages.ca/bus/Ontario/Scarborough/Trouble-Shooters-Plumbing-Drains/7844180.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.562377"
"Mr Rooter Plumbing of North York ON","416-742-3137","71 Penn Dr","North York","ON","M9L 2A6","https://www.yellowpages.ca/gourl/194934e78032a637b096ae7950af61e6e4e5776c?redirect=https%3A%2F%2Fmrrooter.ca%2F","https://www.yellowpages.ca/bus/Ontario/North-York/Mr-Rooter-Plumbing-of-North-York-ON/8002828.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.562667"
"Direct Energy Home Services","705-646-1020","","","","","","https://www.yellowpages.ca/bus/Ontario/Direct-Energy-Home-Services/100477669.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.562864"
"Mr. Rooter Plumbing","416-742-6523","151 Front St W","Toronto","ON","M5J 2N1","","https://www.yellowpages.ca/bus/Ontario/Toronto/Mr-Rooter-Plumbing/7155831.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.563093"
"Mr Rooter Plumbing Of Scarborough","416-755-4663","","","","","","https://www.yellowpages.ca/bus/Ontario/Mr-Rooter-Plumbing-Of-Scarborough/100220276.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.563285"
"Azad Heating And Plumbing Supplies","416-907-1045","2914 Danforth Ave","Toronto","ON","M4C 1M1","https://www.yellowpages.ca/gourl/edd066931049b86f50a8b553425e196d6926c058?redirect=http%3A%2F%2Fazadheatingandplumbing.sitereview.ca%2F","https://www.yellowpages.ca/bus/Ontario/Toronto/Azad-Heating-And-Plumbing-Supplies/102340439.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.563519"
"Arka Plumbing","647-783-9369","454 Dover St N","Cambridge","ON","N3H 1K9","javascript:void(0);","https://www.yellowpages.ca/bus/Ontario/Cambridge/Arka-Plumbing/100267620.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.563798"
"Detailed Plumbing Ltd","416-992-1071","901 Dales Ave","Newmarket","ON","L3Y 5Z6","javascript:void(0);","https://www.yellowpages.ca/bus/Ontario/Newmarket/Detailed-Plumbing-Ltd/102028549.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.564047"
"Enercare","519-746-6863","","","","","","https://www.yellowpages.ca/bus/Ontario/Enercare/101155994.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.564237"
"Kitchen & Bath Classics","905-575-1210","","","","","","https://www.yellowpages.ca/bus/Ontario/Kitchen-Bath-Classics/8118968.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.564431"
"Mr Rooter Plumbing","705-325-6362","","","","","","https://www.yellowpages.ca/bus/Ontario/Mr-Rooter-Plumbing/101650451.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.564619"
"Mr Rooter Plumbing","519-278-4200","","","","","","https://www.yellowpages.ca/bus/Ontario/Mr-Rooter-Plumbing/101055561.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.564811"
"Mr Rooter Plumbing","226-706-1742","","","","","","https://www.yellowpages.ca/bus/Ontario/Mr-Rooter-Plumbing/101058009.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.565004"
"Lennox Partsplus","416-526-9540","2977 St Etienne Blvd","Windsor","ON","N8W 5B1","https://www.yellowpages.ca/gourl/2d70af9750c63690dffe17ee9dfcfe611293c9ba?redirect=http%3A%2F%2Fwww.facebook.com%2F2099852116949142","https://www.yellowpages.ca/bus/Ontario/Windsor/Lennox-Partsplus/102200050.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:24.565236"
"Crane Supply","647-729-9523","210 Dundas St W","Toronto","ON","M5G 2E8","https://www.yellowpages.ca/gourl/5c24d9f7663b5327c955836b17007ccdbadc2b99?redirect=http%3A%2F%2Fwww.cranesupply.com%2F","https://www.yellowpages.ca/bus/Ontario/Toronto/Crane-Supply/7241136.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.560648"
"Crane Supply","416-244-5629","615 Dixon Rd","Etobicoke","ON","M9W 1H9","https://www.yellowpages.ca/gourl/5c24d9f7663b5327c955836b17007ccdbadc2b99?redirect=http%3A%2F%2Fwww.cranesupply.com%2F","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Crane-Supply/7130308.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.560893"
"Crane Supply","416-244-5351","141 Royal Group Crescent","Vaughan","ON","L4H 1X9","https://www.yellowpages.ca/gourl/5f5dd6184f6a43eea9b534ba3240edad61168013?redirect=http%3A%2F%2Fcranesupply.com%2F","https://www.yellowpages.ca/bus/Ontario/Vaughan/Crane-Supply/7779327.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.561132"
"Mr Rooter","289-639-2207","","","","","","https://www.yellowpages.ca/bus/Ontario/Mr-Rooter/8019896.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.561334"
"Wolseley Canada Inc","416-746-2171","210 Rexdale Blvd","Etobicoke","ON","M9W 1R2","https://www.yellowpages.ca/gourl/6452ee3d1b307f354c5e76e4ecd5c10dea9e92f3?redirect=http%3A%2F%2Fwww.wolseleyinc.ca%2F","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Wolseley-Canada-Inc/2438865.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.561593"
"Wolseley Canada Inc","416-252-5628","1581 The Queensway","Etobicoke","ON","M8Z 1T8","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Wolseley-Canada-Inc/100551316.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.561829"
"A1 Plumbing Service","647-618-0841","","","","","","https://www.yellowpages.ca/bus/Ontario/A1-Plumbing-Service/101651807.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.562023"
"Drain Rescue Plumbers","1-833-200-7888","1173 Lansdowne Ave","Toronto","ON","M6H 3Z7","https://www.yellowpages.ca/gourl/c72ff1c6f663a278317438b254368919044010c8?redirect=http%3A%2F%2Fdrainrescueplumbers.com%2F","https://www.yellowpages.ca/bus/Ontario/Toronto/Drain-Rescue-Plumbers/100478757.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.562275"
"Drain Rescue Plumbers","1-833-200-7888","12-50 Paxman Road","Etobicoke","ON","M9C 1B7","https://www.yellowpages.ca/gourl/c72ff1c6f663a278317438b254368919044010c8?redirect=http%3A%2F%2Fdrainrescueplumbers.com%2F","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Drain-Rescue-Plumbers/8188666.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.562555"
"Priority Plumbing","416-762-8662","1594 Dupont St","Toronto","ON","M6P 3S7","https://www.yellowpages.ca/gourl/6ef978bf57bba86ccc199cf81ba921f6616af7c8?redirect=http%3A%2F%2Fpriorityplumbing.ca%2F","https://www.yellowpages.ca/bus/Ontario/Toronto/Priority-Plumbing/7973940.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.562837"
"Best Plumbing","647-457-0978","91 Gauguin Ave","Thornhill","ON","L4J 9J4","https://www.yellowpages.ca/gourl/a4b806ad99a8877c1bb01876a600e7cac847b1f8?redirect=https%3A%2F%2Fthebestplumber.ca%2F","https://www.yellowpages.ca/bus/Ontario/Thornhill/Best-Plumbing/101893959.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.563069"
"Drain Rescue Plumbers","1-833-200-7888","12-176 Yonge St","Toronto","ON","M5C 2L7","https://www.yellowpages.ca/gourl/c72ff1c6f663a278317438b254368919044010c8?redirect=http%3A%2F%2Fdrainrescueplumbers.com%2F","https://www.yellowpages.ca/bus/Ontario/Toronto/Drain-Rescue-Plumbers/7247857.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.563308"
"Elite Plumbing","416-335-6169","148 Shorting Rd","Scarborough","ON","M1S 3S6","https://www.yellowpages.ca/gourl/0a7fc5062a7481491dedbcd226f3101b3375f3d5?redirect=http%3A%2F%2Fwww.facebook.com%2F198359427629891","https://www.yellowpages.ca/bus/Ontario/Scarborough/Elite-Plumbing/101040943.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.563547"
"Priority Plumbing","289-216-4365","1594 Dupont St","Toronto","ON","M6P 3S7","","https://www.yellowpages.ca/bus/Ontario/Toronto/Priority-Plumbing/102408121.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.563781"
"Mark's Plumbing","705-840-9074","","","","","","https://www.yellowpages.ca/bus/Ontario/Mark-s-Plumbing/4042283.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.563977"
"Master Plumber","647-637-3279","","","","","","https://www.yellowpages.ca/bus/Ontario/Master-Plumber/101672504.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.564167"
